'VANILLA EXTRACT,IMITN,ALCOHOL';237
'VANILLA EXTRACT,IMITN,NO ALCOHOL';56
'VINEGAR,DISTILLED';18
'CAPERS,CANNED';23
'HORSERADISH,PREPARED';48
'ROSEMARY,FRESH';131
'PEPPERMINT,FRESH';70
'SPEARMINT,FRESH';44
'SPEARMINT,DRIED';285
'VINEGAR,RED WINE';19
'VINEGAR,BALSAMIC';88
'CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX';188
'BABYFOOD,JUC TREATS,FRUIT MEDLEY,TODD';347
'BABYFOOD,MEAT,BF,STR';81
'BABYFOOD,MEAT,BF,STR';81
'BABYFOOD,MEAT,VEAL,STR';81
'BABYFOOD,MEAT,PORK,STR';124
'BABYFOOD,MEAT,HAM,STR';97
'BABYFOOD,MEAT,HAM,JUNIOR';97
'BABYFOOD,MEAT,LAMB,STR';87
'BABYFOOD,MEAT,LAMB,JUNIOR';112
'BABYFOOD,MEAT,CHICK,STR';130
'BABYFOOD,MEAT,CHICK,JR';146
'BABYFOOD,MEAT,CHICK STKS,JR';188
'BABYFOOD,MEAT,TURKEY,STR';111
'BABYFOOD,MEAT,TURKEY,JR';111
'Babyfood, meat, turkey sticks, junior';188
'GERBER GRADUATES FRUIT STRIPS REAL FRUIT BARS';330
'BABYFOOD,MEAT,MEAT STKS,JR';184
'BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR';48
'BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR';48
'BABYFOOD,DINNER,BF LASAGNA,TODD';77
'BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR';61
'BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR';59
'BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU';99
'BABYFOOD,DINNER,BF NOODLE,STR';63
'BABYFOOD,MACARONI&CHS,TODD';82
'BABYFOOD,DINNER,BF&RICE,TODD';82
'BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR';68
